Ticker;Name;Price;EarningsPerShare;FiftyTwoWeeksLow;FiftyTwoWeeksHigh;MarketCap;EBITDA
LNC;Lincoln National;73.86;9.24;86.68;61.45;17123031000;0
LKQ;LKQ Corporation;38.86;1.5;43.8599;27.85;12469931896;1065614000
LMT;Lockheed Martin Corp.;334.3;6.83;361.79;256.4;98102120000;7115000000
L;Loews Corp.;46.05;1.93;53.59;45.01;16111166935;0
LOW;Lowe's Cos.;95.01;3.46;108.98;70.76;82909678852;7858000000
LYB;LyondellBasell;105.79;12.25;121.95;78.01;43556650000;6851000000
MTB;M&T Bank Corp.;178.35;8.69;193.85;141.12;27840827434;0
MAC;Macerich;58.36;3.43;69.73;52.12;8473119166;503183000
M;Macy's Inc.;24;1.98;33.73;17.405;7541063495;2446000000
MRO;Marathon Oil Corp.;15.68;-2.65;19.52;10.55;13875005314;2266000000
MPC;Marathon Petroleum;62.79;6.85;73.53;47.39;31633740000;5978000000
MAR;Marriott Int'l.;133.88;2.67;149.21;85.3725;50910130358;2620000000
MMC;Marsh & McLennan;79.31;2.87;86.54;69.33;41819440000;3236000000
MLM;Martin Marietta Materials;208.42;6.63;244.32;191.09;13756812736;975223000
MAS;Masco Corp.;40.7;1.47;46.445;31.29;13428792315;1179000000
MA;Mastercard Inc.;160.62;3.65;177.11;105.8;1.87102E+11;7113000000
MAT;Mattel Inc.;16;-3.06;26.3;12.71;5843402350;-203599000
MKC;McCormick & Co.;101.36;3.73;109.67;90.25;13459353253;815700000
MCD;McDonald's Corp.;158.97;6.36;178.7;124.36;1.32102E+11;10515400000
MCK;McKesson Corp.;150.23;22.74;178.86;133.82;31534840262;7232000000
MDT;Medtronic plc;78.38;2.89;89.72;75.44;1.10107E+11;9204000000
MRK;Merck & Co.;54.73;1.4;66.8;53.63;1.52242E+11;8715000000
MET;MetLife Inc.;44.28;0.63;56.58;44.58;48679364276;0
MTD;Mettler Toledo;601;14.24;697.26;459.34;16420774443;666706000
MGM;MGM Resorts International;33.5;1.92;38.41;25.15;19633674337;2680385000
KORS;Michael Kors Holdings;60.03;3.31;69.95;32.38;10053919023;456600000
MCHP;Microchip Technology;79.9;0.66;99.17;69.76;19393095636;997492000
MU;Micron Technology;40;4.36;49.89;22.64;48576791974;12541000000
MSFT;Microsoft Corp.;85.01;2.97;96.07;63.22;6.89978E+11;41079000000
MAA;Mid-America Apartments;85.39;2.86;110.95;86.95;9992628990;871483000
MHK;Mohawk Industries;256.57;12.48;286.85;209.9;19897356456;1750393000
TAP;Molson Coors Brewing Company;74.51;9.27;102.14;75.79;12396862128;4708400000
MDLZ;Mondelez International;42.68;1.91;47.23;39.19;65827817742;4355000000
MON;Monsanto Co.;119.08;5.09;123.15;106.97;53076824328;4217000000
MNST;Monster Beverage;61.99;1.19;70.215;41.02;36403831015;1229478000
MCO;Moody's Corp;152.14;1.35;167.23;106.48;30189978000;1238000000
MS;Morgan Stanley;51.79;3.09;58.05;40.06;97535400000;0
MSI;Motorola Solutions Inc.;98.74;-1.08;107.78;77.23;16626039679;1629000000
MYL;Mylan N.V.;39.25;0.93;47.82;29.39;21698849265;3113300000
NDAQ;Nasdaq, Inc.;75.21;4.32;83.29;65.98;12844304115;1212000000
NOV;National Oilwell Varco Inc.;32.64;-6.4;41.895;29.9;12940096785;353000000
NAVI;Navient;13.38;1.01;16.97;11.481;3692691330;0
NTAP;NetApp;55.85;1.81;64.0599;37.43;15375210915;1075000000
NFLX;Netflix Inc.;250.1;1.25;286.81;138.26;1.14805E+11;809028000
NWL;Newell Brands;27.91;1.17;55.08;23.85;14438346000;2021400000
NFX;Newfield Exploration Co;26.38;-6.5;43.74;24.41;5695123080;896000000
NEM;Newmont Mining Corporation;36.61;-1.18;42.04;31.42;19749449484;1509000000
NWSA;News Corp. Class A;15.65;-1.28;17.29;12;9356906461;679000000
NWS;News Corp. Class B;15.85;-1.28;17.7;12.35;9496735699;679000000
NEE;NextEra Energy;145.29;11.39;159.64;124.18;69661177770;9018000000
NLSN;Nielsen Holdings;33.9;1.39;45.73;34.22;13377670080;1836000000
NKE;Nike;62.49;2.51;68.83;50.35;1.06776E+11;5162000000
NI;NiSource Inc.;22.51;1.02;27.76;21.93;7776566371;1448600000
NBL;Noble Energy Inc;25.43;-2.32;39.6;22.985;13177325251;-518000000
JWN;Nordstrom;47.23;2.02;53;37.7924;8212509855;1448000000
NSC;Norfolk Southern Corp.;136.89;18.73;157.1499;109.27;40543547441;4737000000
NTRS;Northern Trust Corp.;96.2;4.92;108.91;83.17;22908130223;0
NOC;Northrop Grumman Corp.;324.01;11.47;349.18;231.98;58782413951;3884000000
NCLH;Norwegian Cruise Line;56.01;2.78;61.48;46.96;13191507318;1529401000
NRG;NRG Energy;24;-2.23;29.78;14.52;8030036023;1774000000
NUE;Nucor Corp.;60.38;4.1;70.48;51.67;20003317128;2648729000
NVDA;Nvidia Corporation;217.52;2.57;249.27;95.17;1.38653E+11;3098000000
ORLY;O'Reilly Automotive;252.22;10.73;279.23;169.43;21433781860;1965187000
OXY;Occidental Petroleum;68.47;-0.75;78.09;57.2;53467692395;5205000000
